playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,BA,inducted
albosed01,19,12,0,1,0,0,0,0.0,0.0,0.0,0,7.0,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,N
albreed01,3,3,0,0,0,0,0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,N
albrija01,41,99,9,23,4,0,2,5.0,1.0,0.0,10,11.0,0.0,0.0,3.0,0.0,2.0,0.23232323232323232,N
albural01,243,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
alburvi01,102,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
alcalsa01,68,71,6,8,1,0,1,4.0,0.0,0.0,2,41.0,0.0,0.0,7.0,0.0,0.0,0.11267605633802817,N
alcanar01,97,323,38,63,12,2,10,32.0,12.0,8.0,22,112.0,0.0,2.0,2.0,2.0,4.0,0.19504643962848298,N
alcanis01,51,115,15,31,3,0,6,15.0,1.0,1.0,6,26.0,0.0,0.0,0.0,0.0,3.0,0.26956521739130435,N
alcanra01,5,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
alcarlu01,115,365,30,70,9,2,4,29.0,2.0,2.0,21,58.0,2.0,0.0,2.0,2.0,7.0,0.1917808219178082,N
alcocsc01,54,156,12,27,4,2,0,7.0,4.0,2.0,7,14.0,0.0,1.0,5.0,0.0,0.0,0.17307692307692307,N
alderda01,16,7,0,0,0,0,0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,N
aldremi01,930,2147,277,565,104,9,41,271.0,19.0,18.0,314,381.0,29.0,5.0,14.0,18.0,43.0,0.2631578947368421,N
aldresc01,229,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
aldrico01,13,18,1,1,0,1,0,1.0,0.0,0.0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,N
aldrija01,62,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
aldrivi01,248,581,46,133,14,4,2,60.0,2.0,0.0,10,41.0,0.0,0.0,32.0,0.0,0.0,0.2289156626506024,N
alenoch01,118,320,34,67,11,3,2,34.0,3.0,0.0,31,35.0,0.0,1.0,4.0,0.0,7.0,0.209375,N
alexabo01,9,1,0,0,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,N
alexada01,662,2450,369,811,164,30,61,459.0,20.0,28.0,248,197.0,0.0,6.0,32.0,0.0,0.0,0.3310204081632653,N
alexado01,562,265,19,44,8,0,0,17.0,0.0,0.0,9,77.0,0.0,1.0,23.0,2.0,7.0,0.1660377358490566,N
alexaga01,432,1276,169,293,45,11,55,202.0,8.0,12.0,154,381.0,12.0,5.0,4.0,19.0,34.0,0.22962382445141066,N
alexage01,36,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
alexahu01,7,11,0,1,0,0,0,0.0,1.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,N
alexama01,374,168,111,36,4,2,0,4.0,103.0,42.0,18,26.0,1.0,1.0,8.0,0.0,2.0,0.21428571428571427,N
alexama02,594,1271,166,293,50,12,15,115.0,37.0,10.0,86,276.0,7.0,7.0,19.0,4.0,17.0,0.23052714398111723,N
alexani01,20,69,2,9,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,N
alexape01,703,1810,154,378,60,13,11,163.0,3.0,5.0,77,276.0,0.0,2.0,88.0,0.0,0.0,0.20883977900552486,Y
alexasc01,21,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
alexawa01,162,405,26,76,18,3,1,24.0,5.0,1.0,42,83.0,0.0,4.0,16.0,0.0,0.0,0.18765432098765433,N
alfarja01,7,11,1,2,0,0,0,0.0,0.0,0.0,0,5.0,0.0,0.0,1.0,0.0,1.0,0.18181818181818182,N
alfarjo01,6,16,0,2,0,0,0,0.0,0.0,0.0,1,8.0,1.0,0.0,0.0,0.0,0.0,0.125,N
alfonan01,592,14,0,2,0,0,0,2.0,0.0,0.0,0,8.0,0.0,0.0,1.0,0.0,0.0,0.14285714285714285,N
alfoned01,1506,5385,777,1532,282,18,146,744.0,53.0,17.0,596,617.0,22.0,41.0,31.0,55.0,110.0,0.28449396471680594,N
alfonel01,193,591,44,142,24,3,17,67.0,1.0,2.0,17,158.0,9.0,9.0,4.0,3.0,17.0,0.24027072758037224,N
alicelu01,1341,3971,551,1031,189,53,47,422.0,81.0,50.0,500,624.0,25.0,48.0,49.0,45.0,74.0,0.25963233442457817,N
allanan01,512,1486,145,357,48,4,16,140.0,23.0,18.0,87,223.0,4.0,9.0,35.0,16.0,27.0,0.24024226110363392,N
allarbr01,19,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
allenbe01,1139,3404,357,815,140,21,73,351.0,13.0,16.0,370,424.0,52.0,8.0,24.0,17.0,60.0,0.23942420681551116,N
allenbo01,606,2211,337,532,77,44,14,306.0,53.0,0.0,297,209.0,0.0,13.0,3.0,0.0,0.0,0.24061510628674807,N
allenbo02,9,22,3,3,1,0,0,0.0,0.0,0.0,3,7.0,0.0,1.0,0.0,0.0,0.0,0.13636363636363635,N
allenbo03,3,3,1,1,0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,N
allenbo04,204,31,0,4,1,0,0,0.0,0.0,0.0,1,16.0,0.0,0.0,2.0,0.0,0.0,0.12903225806451613,N
allenbr01,116,344,44,70,19,2,12,41.0,3.0,0.0,42,137.0,6.0,1.0,0.0,2.0,4.0,0.20348837209302326,N
allench01,267,851,102,229,44,8,14,84.0,15.0,13.0,63,173.0,2.0,4.0,5.0,5.0,22.0,0.2690951821386604,N
allenco01,317,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,N
allendi01,1749,6332,1099,1848,320,79,351,1119.0,133.0,52.0,894,1556.0,138.0,16.0,19.0,53.0,164.0,0.29185091598231205,N
allendu01,27,28,5,7,2,0,2,2.0,0.0,0.0,4,12.0,0.0,0.0,0.0,0.0,1.0,0.25,N
allenet01,1281,4418,623,1325,255,45,47,501.0,84.0,4.0,223,310.0,0.0,14.0,110.0,0.0,38.0,0.29990946129470347,N
allenfr01,181,288,23,39,8,6,2,25.0,1.0,0.0,35,126.0,0.0,1.0,14.0,0.0,0.0,0.13541666666666666,N
allenga01,416,1061,114,235,49,2,19,131.0,3.0,7.0,130,192.0,3.0,5.0,15.0,11.0,35.0,0.22148916116870876,N
allenha01,16,66,8,18,1,0,0,7.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,N
allenha02,389,881,104,212,27,9,6,57.0,15.0,9.0,49,128.0,5.0,2.0,2.0,4.0,30.0,0.24063564131668558,N
allenhe01,1,3,0,2,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,N
